iter	Logloss
0	0.6716475673
1	0.6499039931
2	0.6298269153
3	0.6155133469
4	0.5979555036
5	0.5812829631
6	0.564141865
7	0.5502104691
8	0.537038593
9	0.525143331
10	0.5125620143
11	0.5016868513
12	0.4911295718
13	0.4803687139
14	0.4700693902
15	0.4603321971
16	0.4518858801
17	0.4413712642
18	0.4324995666
19	0.4246720186
20	0.4160854043
21	0.4068635309
22	0.3991107675
23	0.392149923
24	0.3830563099
25	0.3763843274
26	0.3700480443
27	0.3630232512
28	0.3569809768
29	0.3505661365
30	0.3444666095
31	0.3392066325
32	0.3342152965
33	0.330209479
34	0.3260670921
35	0.3208955423
36	0.3159498516
37	0.3105323231
38	0.3054588921
39	0.3021957111
40	0.2981535193
41	0.2937813701
42	0.2899858577
43	0.285981233
44	0.2818674659
45	0.2773931749
46	0.273318084
47	0.270243165
48	0.2660962754
49	0.2627783595
50	0.2595300867
51	0.2562725233
52	0.2537554056
53	0.2505852746
54	0.2470384254
55	0.2442008181
56	0.2410383925
57	0.2381660211
58	0.2345108249
59	0.2321547241
60	0.2296745956
61	0.2267588337
62	0.2235820579
63	0.2213988123
64	0.2177731307
65	0.2149960072
66	0.2130073279
67	0.210479647
68	0.2078193973
69	0.2050512663
70	0.2026641484
71	0.2002979291
72	0.1979287155
73	0.1960720784
74	0.1941064572
75	0.1917876607
76	0.1900786787
77	0.1879575378
78	0.1858146939
79	0.1841690878
80	0.1815101688
81	0.1798068609
82	0.1782118184
83	0.1759111257
84	0.1741387629
85	0.1723753743
86	0.170180768
87	0.1682095166
88	0.1666232392
89	0.1650471956
90	0.1634643735
91	0.1618723269
92	0.160361085
93	0.1587788748
94	0.1570116876
95	0.1553674118
96	0.1541257239
97	0.1527048251
98	0.1508416828
99	0.1489412026
