iter	Passed	Remaining
0	15	1548
1	62	3044
2	91	2969
3	118	2836
4	143	2721
5	168	2633
6	192	2555
7	220	2533
8	236	2389
9	324	2918
10	366	2967
11	386	2832
12	411	2754
13	436	2683
14	456	2584
15	479	2515
16	499	2440
17	519	2365
18	539	2298
19	548	2195
20	569	2141
21	589	2090
22	608	2036
23	627	1987
24	646	1939
25	664	1891
26	683	1848
27	702	1806
28	720	1764
29	739	1725
30	758	1688
31	777	1653
32	796	1616
33	798	1549
34	815	1514
35	834	1482
36	852	1451
37	874	1427
38	894	1399
39	918	1377
40	937	1348
41	954	1318
42	975	1293
43	994	1266
44	1013	1238
45	1032	1211
46	1050	1184
47	1070	1159
48	1087	1132
49	1105	1105
50	1122	1078
51	1140	1052
52	1157	1026
53	1178	1003
54	1197	979
55	1218	957
56	1237	933
57	1259	911
58	1279	889
59	1300	866
60	1317	842
61	1335	818
62	1353	795
63	1370	771
64	1389	748
65	1407	725
66	1426	702
67	1445	680
68	1462	657
69	1480	634
70	1496	611
71	1515	589
72	1532	566
73	1549	544
74	1566	522
75	1583	500
76	1601	478
77	1622	457
78	1640	435
79	1657	414
80	1675	393
81	1697	372
82	1716	351
83	1734	330
84	1751	309
85	1773	288
86	1792	267
87	1809	246
88	1830	226
89	1848	205
90	1868	184
91	1885	163
92	1903	143
93	1922	122
94	1940	102
95	1957	81
96	1975	61
97	1992	40
98	2010	20
99	2027	0
